Location,Pokemon,Time of Day,Encounter Method,Rarity,Additional Notes
Pallet Town,Pokémon,Time,Method,Rarity,Notes
,Charmander,Any,Gift,Guarantee,Choose one of them. Starter
,Bulbasaur,Any,Gift,Guarantee
,Squirtle,Any,Gift,Guarantee
,Tentacool,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Horsea,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Good Rod,Uncommon,
,Magikarp,Any,Fishing: Good Rod,Uncommon,
,Shellder,Any,Fishing: Super Rod,Uncommon,
,Horsea,Any,Fishing: Super Rod,Uncommon,
,Staryu,Any,Fishing: Super Rod,Uncommon,
,Krabby,Any,Fishing: Super Rod,Uncommon,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Seadra,Any,Fishing: Super Rod,Rare,
,Kingler,Any,Fishing: Super Rod,Rare,
,Psyduck,Any,Fishing: Super Rod,Common,
,Slowpoke,Any,Fishing: Super Rod,Common,
Route 1,Pokémon,Time,Method,Rarity,Notes
,Rattata,Any,Grass,Common,More common at night
,Pidgey,M/D/E,Grass,Common,
Viridian City,Pokémon,Time,Method,Rarity,Notes
,Slowpoke,Any,Surfing,Common,
,Psyduck,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Goldeen,Any,Fishing: Good Rod,Uncommon,
,Magikarp,Any,Fishing: Good Rod,Uncommon,
,Poliwag,Any,Fishing: Super Rod,Common,
,Poliwhirl,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
Route 22,Pokémon,Time,Method,Rarity,Notes
,Rattata,Any,Grass,Common,
,Mankey,Any,Grass,Common,
,Spearow,Any,Grass,Uncommon,
,Slowpoke,Any,Surfing,Common,
,Psyduck,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Uncommon,
,Poliwag,Any,Fishing: Super Rod,Common,
,Poliwhirl,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
Route 2 South,Pokémon,Time,Method,Rarity,Notes
South of Viridian Forest,Caterpie,M/D/E,Grass,Common,
,Weedle,Any,Grass,Common,
,Rattata,Any,Grass,Common,
,Pidgey,M/D/E,Grass,Common,
Route 2 North,Pokémon,Time,Method,Rarity,Notes
North of Viridian Forest + area between Diglett’s cave and gate to southern part of route,Caterpie,M/D/E,Grass,Common,
Weedle,Any,Grass,Common,
Pidgey,M/D/E,Grass,Common,
Ledyba,M/D/E,Grass,Uncommon,
Route 2 East,Pokémon,Time,Method,Rarity,Notes
East of Diglett’s cave entrance and narrow path with lake,Caterpie,M/D/E,Grass,Common,
Weedle,Any,Grass,Common,
Pidgey,M/D/E,Grass,Common,
,Kakuna,Any,Grass,Uncommon,
,Slowpoke,Any,Surfing,Common,"Small lake on narrow forest path, south part of R. 2 East"
,Psyduck,Any,Surfing,Common
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Super Rod,Common,
,Mr. Mime,Any,Trade,Guarantee,"Abra for Mr. Mime, in house at northeastern corner"
Viridian Forest,Pokémon,Time,Method,Rarity,Notes
,Caterpie,M/D/E,Grass,Common,
,Weedle,M/D/E,Grass,Common,
,Metapod,M/D/E,Grass,Uncommon,
,Kakuna,M/D/E,Grass,Uncommon,
,Pikachu,Any,Grass,Rare,
Pewter City,Pokémon,Time,Method,Rarity,Notes
Route 3,Pokémon,Time,Method,Rarity,Notes
,Spearow,M/D/E,Grass,Common,
,Ekans,Any,Grass,Common,
,Jigglypuff,Any,Grass,Rare,
,Pidgey,Any,Grass,Common,
,Mankey,Any,Grass,Common,
,Slowpoke,Any,Surfing,Common,
,Psyduck,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Super Rod,Common,
,Magikarp,Any,Trade,Guarantee,$500 for Magikarp (Herman)
Mt. Moon (1F),Pokémon,Time,Method,Rarity,Notes
Entrance level,Zubat,Any,Cave,Common,
,Geodude,Any,Cave,Common,
,Paras,Any,Cave,Uncommon,
,Clefairy,Any,Cave,Uncommon,
Mt. Moon B1F,Pokémon,Time,Method,Rarity,Notes
,Zubat,Any,Cave,Common,
,Geodude,Any,Cave,Common,
,Paras,Any,Cave,Common,
,Clefairy,Any,Cave,Uncommon,
Mt. Moon B2F,Pokémon,Time,Method,Rarity,Notes
,Zubat,Any,Cave,Common,
,Geodude,Any,Cave,Common,
,Paras,Any,Cave,Common,
,Clefairy,Any,Cave,Uncommon,
,Kabuto,Any,Gift,Guarantee,Take Dome fossil
,Omanyte,Any,Gift,Guarantee,Take Helix fossil
Mt. Moon 2F,Pokémon,Time,Method,Rarity,Notes
Exits to Mt. Moon Square,Zubat,Any,Cave,Common,
,Geodude,Any,Cave,Common,
,Paras,Any,Cave,Uncommon,
,Clefairy,Any,Cave,Uncommon,
Mt. Moon Square,Pokémon,Time,Method,Rarity,Notes
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Good Rod,Common,
,Poliwag,Any,Fishing: Super Rod,Common,
Route 4,Pokémon,Time,Method,Rarity,Notes
,Ekans,Any,Grass,Common,
,Spearow,Any,Grass,Common,
,Rattata,Any,Grass,Common,
,Sandshrew,Any,Grass,Uncommon,
,Mankey,Any,Grass,Uncommon,
Cerulean City,Pokémon,Time,Method,Rarity,Notes
,Tentacool,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Good Rod,Common,
,Horsea,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Super Rod,Common,
,Horsea,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
,Jynx,Any,Trade,Guarantee,Poliwhirl for Jynx
Route 24,Pokémon,Time,Method,Rarity,Notes
,Abra,Any,Grass,Uncommon,
,Venonat,N,Grass,Uncommon,
,Oddish,N,Grass,Common,
,Caterpie,Any,Grass,Common,
,Metapod,Any,Grass,Uncommon,
,Weedle,Any,Grass,Common,
,Kakuna,Any,Grass,Uncommon,
,Pidgey,Any,Grass,Common,
,Tentacool,Any,Surfing,Common,
,Magikarp,Any,Fishing: Old Rod,Common,
,Magikarp,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Good Rod,Common,
,Horsea,Any,Fishing: Good Rod,Common,
,Krabby,Any,Fishing: Super Rod,Common,
,Horsea,Any,Fishing: Super Rod,Common,
,Gyarados,Any,Fishing: Super Rod,Uncommon,
,Slowpoke,Any,Fishing: Super Rod,Common,
,Psyduck,Any,Fishing: Super Rod,Common,
Route 25,Pokémon,Time,Method,Rarity,Notes
,Abra,Any,Grass,Rare,
,Pidgey,M/D/E,Grass,Common,
